epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1421.41,1.25583,0.9328,1.18337,0.77294,0.80375,0.82774,0.49403,1.3511,0.82883,1.19056,0.000809439,0.000809439,0.000809439
43,1453.34,1.23705,0.9391,1.16436,0.79865,0.78237,0.81963,0.49607,1.32385,0.80664,1.16037,0.000777093,0.000777093,0.000777093
44,1487.58,1.26686,0.944,1.18344,0.75041,0.85554,0.81644,0.48918,1.354,0.82954,1.19222,0.000744847,0.000744847,0.000744847
45,1524.07,1.20857,0.89451,1.15958,0.7678,0.75756,0.81553,0.50237,1.32321,0.8053,1.15911,0.000712751,0.000712751,0.000712751
46,1557.11,1.21275,0.86002,1.15993,0.77468,0.8099,0.82776,0.45304,1.50185,0.82499,1.25621,0.000680853,0.000680853,0.000680853
47,1594.58,1.21336,0.89083,1.14062,0.80315,0.80092,0.83704,0.51351,1.32487,0.82453,1.16927,0.000649204,0.000649204,0.000649204
48,1635.58,1.19768,0.87774,1.1419,0.79555,0.81956,0.82551,0.49688,1.34198,0.79836,1.1819,0.000617852,0.000617852,0.000617852
49,1676.49,1.20597,0.8638,1.13466,0.7673,0.81866,0.83365,0.50031,1.31592,0.82617,1.16816,0.000586845,0.000586845,0.000586845
50,1706.68,1.18862,0.87274,1.14137,0.82597,0.74143,0.83838,0.50891,1.32528,0.79382,1.1738,0.000556231,0.000556231,0.000556231
51,1739.54,1.16511,0.86388,1.12356,0.80698,0.77674,0.83762,0.50379,1.34591,0.81222,1.18711,0.000526058,0.000526058,0.000526058
52,1777.84,1.19217,0.86459,1.14077,0.79259,0.79754,0.84434,0.51635,1.34028,0.7657,1.17529,0.000496372,0.000496372,0.000496372
53,1816.32,1.17001,0.82468,1.1221,0.81553,0.80527,0.86351,0.51956,1.31611,0.7777,1.15946,0.000467218,0.000467218,0.000467218
54,1849.11,1.19296,0.84595,1.1375,0.80539,0.81665,0.86305,0.52623,1.31827,0.76628,1.17809,0.000438642,0.000438642,0.000438642
55,1884.75,1.13223,0.83558,1.12057,0.80916,0.80652,0.85714,0.52534,1.30523,0.75979,1.15943,0.000410687,0.000410687,0.000410687
56,1924.02,1.12984,0.81266,1.10967,0.81305,0.81204,0.8516,0.51753,1.33365,0.78378,1.17862,0.000383398,0.000383398,0.000383398
57,1962.73,1.11985,0.80769,1.10748,0.77469,0.82334,0.84713,0.51841,1.33312,0.76571,1.17605,0.000356815,0.000356815,0.000356815
